vehicle,item,quantitiy,serial,date_purchased,kilometer,description,km_diff,time_diff,time_diff
AA-3-01576,Tyre,1,"HLE 4913, HLE 4913",9/16/2015 0:00,115747,NULL,0,NULL,NULL
AA-3-63445,Tyre,4,CCD1217*4,1/18/2018 0:00,81454,Bridgestone Tyre Tubeless Size 245/75/ R16,91524,2 Year and 10 Month,3 Year and 10 Month
AA-3-63445,Tyre,4,CCD1118*4,3/21/2019 0:00,123717,Bridestone Tyre Tubeless Size 245/75 R16,49261,1 year and 7 Month,2 year and 7 Month
AA-3-63445,Tyre,4,"JKK0817, JKK0817, CCD1717, CCD1717",3/11/2020 0:00,172978,Bridgestone Tyre Tubeless Size 245/75/R16 ( All Terrain Tyre) * The Tyre Brand & Serial No Found on the Vehicle are similar with previously purchased.,48839,2 Year and 2 month,3 Year and 2 month
AA-3-01572,Tyre,3,"1402080960, 140407593B & 140407554B",10/7/2014 0:00,73045,Addis Tyres Size 6.50x14,73045,3Years and 5 Month,3Years and 5 Month
AA-3-01572,Tyre,3,"1309103990, 130901574A",12/25/2013 0:00,7316,Addis Tyre Size 6.00*12,22,2 Years and 1 month,3 Years and 1 month
AA-3-01572,Tyre,4,"080805A, 080912A, 080799A",8/26/2019 0:00,15388,Addis Tyre Size 6.00x12,15871,4 Years and 4 Month,5 Years and 4 Month
AA-3-06139,battery,1,GV14M1,6/25/2010 0:00,220397,Current KM not Found,0,6 Years and 6 Month,7 Years and 6 Month
AA-3-06139,battery,1,22A5B1S0764,2/16/2016 0:00,0,GS Battery with Acid Size 12V 35Amp,0,7years,7years
AA-3-94891,Tyre,5,2612x5,4/24/2015 0:00,0,Haide Tyre Tube less size 245/75R16,0,7years 7 6 month,7years 7 6 month
AA-3-94891,Tyre,4,"H1730216X2,H1730116X2",1/12/2016 0:00,0,pirelli tyre size 245/75/R16,0,5years & 11 month,5years & 11 month
AA-3-94891,Tyre,5,"JKK2616X3CCD1516,CCD1217",12/11/2017 0:00,241372,Bridgestone tyer size 245/75R16,50152,4years & 10months,4years & 10months
AA-3-94891,Tyre,5,EH-A3 JKK2917X5,7/26/2019 0:00,153058,Bridgestone tyre Tubeless size 245/75R16,88314,3years & 7month,3years & 7month
AA-3-01585,Tyre,4,"1309103850, 130904029A, 1309125950, 1309110830,",10/24/2013 0:00,0,Addis Tyre Size 6.00*12,0,9 years,10 years
AA-3-01585,Tyre,2,4716 & 4616,3/28/2018 0:00,47439,Swallow Tyre Size 6.00*12,55986,6years & 10 month,6years & 10 month
